Model,Round,AvgF1,00-WebDDoS(f1),00-WebDDoS(loss),01-LDAP(f1),01-LDAP(loss),02-Portmap(f1),02-Portmap(loss),03-DNS(f1),03-DNS(loss)
*mlp,1,0.00000,0.00000,0.05918,0.00000,1.61991,0.00000,0.19313,0.00000,0.05192
*mlp,2,0.52582,0.00000,0.01501,0.97143,1.00971,0.98795,0.21168,0.14388,0.05164
*mlp,3,0.74724,0.85714,0.00253,1.00000,1.00971,0.98795,0.21168,0.14388,0.07019
mlp,4,0.40215,0.89655,0.00253,0.31818,1.00971,0.25000,0.21168,0.14388,0.04763
*mlp,5,0.93361,0.85714,0.00253,0.90909,0.52869,0.98795,0.09841,0.98024,0.04361
mlp,6,0.73621,0.89655,0.00805,0.90909,0.32163,0.98204,0.09841,0.15714,0.04361
*mlp,7,0.94796,0.89655,0.00805,0.92105,0.32163,0.99401,0.09841,0.98024,0.04849
mlp,8,0.94450,0.89655,0.01074,0.90909,0.47049,0.98810,0.09841,0.98425,0.04849
*mlp,9,0.96230,0.96774,0.00822,0.90909,0.41038,0.98810,0.09841,0.98425,0.04849
mlp,10,0.94054,0.89655,0.00822,0.89744,0.57879,0.98795,0.09841,0.98024,0.04849
mlp,11,0.94155,0.89655,0.00594,0.89744,0.34547,0.98795,0.09841,0.98425,0.04849
mlp,12,0.73329,0.89655,0.00529,0.89744,0.30695,0.98204,0.09841,0.15714,0.04849
mlp,13,0.94446,0.89655,0.00529,0.90909,0.30695,0.98795,0.09841,0.98425,0.04732
mlp,14,0.94158,0.89655,0.00697,0.89744,0.49365,0.98810,0.09841,0.98425,0.04732
*mlp,15,0.96309,1.00000,0.00587,0.88608,0.44533,0.98204,0.09841,0.98425,0.04732
mlp,16,0.92152,0.85714,0.00587,0.86076,0.76175,0.98795,0.09841,0.98024,0.04732
mlp,17,0.93494,0.89655,0.00380,0.87500,0.42625,0.98795,0.09841,0.98024,0.04732
mlp,18,0.93324,0.89655,0.00771,0.86420,0.77433,0.98795,0.09841,0.98425,0.04732
mlp,19,0.85832,0.89655,0.00738,0.56452,0.79731,0.98795,0.09841,0.98425,0.04732
mlp,20,0.84343,0.85714,0.00738,0.54839,0.84531,0.98795,0.09841,0.98024,0.04732
mlp,21,0.62223,0.81481,0.00738,0.54839,0.83067,0.98182,0.09841,0.14388,0.04732
mlp,22,0.84301,0.85714,0.00738,0.55285,0.66040,0.98182,0.09841,0.98024,0.04250
mlp,23,0.83131,0.81481,0.00738,0.54839,0.89573,0.98182,0.09841,0.98024,0.04250
mlp,24,0.84190,0.85714,0.01157,0.54839,0.87958,0.98182,0.09841,0.98024,0.04250
mlp,25,0.83131,0.81481,0.01157,0.54839,0.89270,0.98182,0.09841,0.98024,0.04250
mlp,26,0.84190,0.85714,0.01078,0.54839,0.87618,0.98182,0.09841,0.98024,0.04250
mlp,27,0.83131,0.81481,0.01078,0.54839,0.89584,0.98182,0.09841,0.98024,0.04250
mlp,28,0.84190,0.85714,0.01048,0.54839,0.87883,0.98182,0.09841,0.98024,0.04250
mlp,29,0.83131,0.81481,0.01048,0.54839,0.90870,0.98182,0.09841,0.98024,0.04250
mlp,30,0.84190,0.85714,0.00851,0.54839,0.88391,0.98182,0.09841,0.98024,0.04250
mlp,31,0.83131,0.81481,0.00851,0.54839,0.93291,0.98182,0.09841,0.98024,0.04250
mlp,32,0.84190,0.85714,0.00773,0.54839,0.90369,0.98182,0.09841,0.98024,0.04250
mlp,33,0.83131,0.81481,0.00773,0.54839,0.95318,0.98182,0.09841,0.98024,0.04250
mlp,34,0.85175,0.89655,0.00713,0.54839,0.92298,0.98182,0.09841,0.98024,0.04250
mlp,35,0.83131,0.81481,0.00713,0.54839,0.96513,0.98182,0.09841,0.98024,0.04250
mlp,36,0.85175,0.89655,0.00676,0.54839,0.93845,0.98182,0.09841,0.98024,0.04250
mlp,37,0.83131,0.81481,0.00676,0.54839,0.97675,0.98182,0.09841,0.98024,0.04250
mlp,38,0.85328,0.89655,0.00642,0.54839,0.95427,0.98795,0.09841,0.98024,0.04250
mlp,39,0.84190,0.85714,0.00642,0.54839,0.98808,0.98182,0.09841,0.98024,0.04250
mlp,40,0.83131,0.81481,0.00642,0.54839,0.99319,0.98182,0.09841,0.98024,0.04250
mlp,41,0.85328,0.89655,0.01116,0.54839,0.97624,0.98795,0.09841,0.98024,0.04250
